Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Utilities,TRP,1.00565,47.87086,0.993,1.014,1.0106,1.011083,0.994875,1.0045,1.0239,1.017833,0.98,1.0172,0.9945625,1.00625
BasicInd,TRS,1.004413,32.69783,1.001,1.028,0.9965,0.96,1.04,1.056,0.926,0.995,0.9685,1.043286,1.062,0.9766667
Cons-Cyc,TSLA,1.001849,222.9959,1.065846,1.08375,0.96675,0.9588333,0.9583334,1.019667,1.0228,1.047833,0.9745,0.997,0.957,0.969875
Service,TTS,0.9902583,12.78083,1.0195,1.092,0.9885,0.916,1.044667,0.934,0.909,0.9948334,0.963,1.039,1.013,0.9696
Service,TWO,1.004356,10.23034,1.0015,1.0155,1.001211,0.9981875,1.001895,1.003364,0.9983529,1.009412,1.014,1.00525,1.0036,1
Trans,UAL,0.9979718,47.49535,1.035333,1.005231,0.9748,0.93075,1.05,0.9515,1.027667,1.026714,0.983,0.9366667,1.02,1.034
Insurance,UAM,1.007774,7.981981,0.9765,1.0305,1.0155,1.006636,1.048429,1.018647,0.9898889,1.002857,0.9881428,1.021,0.9859,1.009286
InvServ,UBS,1.002779,18.94157,1.013048,1.008267,1.002857,1.0008,0.98,0.9885714,0.98275,1.013,0.9781666,0.9948889,1.012,1.059
Trans,UPS,1.003419,100.8681,0.97825,1.011933,1.0062,1.0096,1.008833,1.0046,0.9822,1.016667,0.9936666,1.021727,1.008353,0.999
Trans,UTIW,0.9953371,11.24369,0.97175,0.9328333,1.017667,0.9495714,0.9633334,1.019857,0.9672,1.05,1.057667,1.029,1.059667,0.9255
Service,VC,1.008621,91.74123,0.9982857,1.001,1.03,1.000364,1.0004,1.001,1.009,1.0114,0.9893333,1.070667,0.986,1.006
Insurance,VR,1.000171,38.30251,0.9805,1.0141,0.9994,0.975,0.9955,1.0285,0.9887143,1.02,1,1.0098,1.0102,0.9803333
SemiCon,VTSS,1.002453,3.553179,1.016,1,1.018333,0.9705,0.99675,0.995,0.9668571,1.031,1,1.063667,0.965,1.006333
Utilities,WES,1.008453,69.76402,0.9982857,1.022,1.005,1.0155,1.027,1.013875,0.956,1.086,0.974,0.987,1.017111,0.9996667
Cons-Cyc,WHR,1.000559,152.268,0.9308571,1.026667,1.008625,1.002167,0.9853333,0.9913334,0.9935,1.011667,0.995,1.026556,1.033,1.002
BasicInd,WLK,1.003127,84.76372,0.9871111,1.031667,0.995,1.025,1.035,1.015,1.026,1.034333,0.914,0.989,1.001667,0.98375
Insurance,WLP,1.006912,104.568,1.001444,1.0201,1.0175,1.000714,1.0067,1.001,1.013556,1.0215,1.002,1.008875,1.003556,0.986
Energy,WRES,0.9811564,4.426033,1.028353,1.084357,0.99875,1.070556,1.00475,1.118667,0.993,1.030111,0.9685,0.7773333,0.7055,0.994
Service,Z,1.002554,107.7006,1.013,1.0465,0.9888,0.962,1.077,1.06125,0.9717143,1.00525,0.94855,0.948875,1.048,0.9597143
