Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Services,AMT,1.003031,68.61239,1.01825,0.997,0.988,1.0038,0.9813333,1.021333,1.001154,0.994,1.0295,0.998,1.01,0.994
Insurance,AON,1.007303,50.48985,1.007727,0.992125,1.007727,1.015,0.9963334,1.011,1.019818,1.007053,1.009053,1.0148,1.007,1
Transp,ARII,1.000196,27.80663,0.9772,0.9655,0.9721818,1.068,0.9606667,1.023,1.005667,0.9992727,0.9766667,0.9723334,1.0442,1.037667
Cons-Cyc,ARK,1.004538,4.201053,1.011333,1.0044,0.977,1.004454,1.002,1.004182,1.007308,1.002833,1.01,1.014,1.026444,0.9905
Services,AUMN,0.9997771,5.811784,1.056,0.853,0.985,1.033,1.004,0.9897778,0.9680001,1.091714,0.955,0.9508333,1.044625,1.066375
Basiclnd,AUQ,0.9996318,8.152941,1.053,0.9345,0.93075,0.977,1.020714,1.062667,0.908,1.055,1.1302,0.9685,0.99225,0.963
Services,AVB,0.9964077,137.534,0.975,0.989,1.0226,1.006333,0.9958889,1.009273,0.9865454,1.003818,0.9825,0.9965,0.9855,1.003933
Banks,AXP,1.001261,56.20538,1.0265,0.9978572,1.016667,1.005364,0.9755,1.016,1.0078,1.007222,1,0.9832222,0.985,0.994
Banks,BA,0.9979583,73.93848,1.009667,0.977,1.005,1.005,0.965,1.018,0.996,0.98625,0.9973333,1.00375,1.0035,1.009
InvServ,BAM,1.006759,33.28403,1.037,1.011167,1.049,1.019,0.9566666,0.985,0.9993333,0.987,0.9868182,1.013923,1.020667,1.015533
Bank,BAP,1.007951,126.7883,1.007,1.019667,1.0328,0.99975,0.994625,1.009917,0.9766667,1.016786,1.006429,0.99525,1.016357,1.020167
Energy,BBEP,1.007215,18.6276,1.0345,0.995,0.9952,1.00925,0.998,0.9944444,1.0223,1.0045,1.025,1.007875,0.9841053,1.0164
Banks,BBT,1.009062,30.28952,1.047,0.994,1.028182,1.00625,0.9624,1.05,1.016,0.9991667,1.039,0.9745,0.94725,1.045
Cons-Cyc,BC,1.017572,23.99849,1.044,1.025333,1.084,0.994,1.037,1.007,0.939,0.989,1.006,1.052333,0.98,1.0532
InvServ,BGCP,0.9996246,5.64201,1.021333,1.119,1.013,0.9655,1.018,1.003077,0.9444,0.9940769,1.0328,0.9835,0.9143077,0.9865
Banks,BK,1.001511,22.72609,1.014222,1.002308,1.020765,0.9928889,0.9787778,1.019267,0.9933077,0.9974,0.9845,1.0105,0.979,1.0252
Health,BMY,1.003028,33.28444,0.9871818,1.006857,1.011375,1.018333,1.008333,1.014833,1.018,0.972,1.002667,0.99925,0.9925,1.005
Insurance,BRO,1.004545,25.44454,1.0104,0.98875,1.0074,1.032154,0.9902941,1.019667,0.9828666,1.009,1.003,1.008,1.0036,0.9994118
Energy,BTU,0.9817175,27.36597,0.949,0.9538333,0.9643334,1.0035,0.941,1.005286,0.9045,0.9804,1.023091,1.046167,0.984,1.0255
Utilities,BWP,0.9959543,26.9867,0.9974,1.006333,0.9993333,1.010444,0.9792857,0.99425,0.9805555,1.0026,1.00975,0.98375,0.99225,0.9955
InvServ,BX,1.007734,14.37136,1.0155,0.974,1.024,0.9453334,1.0066,1.00375,1.0505,0.9974616,1.042167,1.0135,0.99,1.03
Cons-Cyc,BYI,0.9986875,45.48875,1.045,0.949,1.0035,0.9958333,0.9815,1.006,0.9746667,1.01825,1.039,0.9825,0.9916667,0.9973333
Basiclnd,CAS,1.014315,11.2043,1.028,0.847,1.057,0.966,0.9654,1.0158,1.088,1.172,0.9783334,0.976,1.00025,1.078
Basiclnd,CF,1.008332,196.4784,1.038875,1.019583,1.016929,1.017143,0.9386364,1.058778,1.007583,1.015125,0.9813333,0.988,0.998,1.02
Banks,CFFN,1.002708,11.80311,0.9960909,0.9965,0.9911667,0.999,0.995,1.018,0.976,1.009667,1.0175,1.017571,1.0135,1.0025
Transp,CGI,1.01787,15.94522,1.0514,0.997,1.01775,0.94725,1,1.037,1.137,1.0205,0.9992857,1.01925,1.003,0.985
Insurance,CI,1.008061,46.87376,1.013385,1.003444,1.024412,0.994,0.996875,1.000214,0.9803636,1.016312,1.030333,1.021571,0.9888182,1.027
